Series Name,Series Code,Country Name,Country Code,1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.7309989929199,41.7719993591309,41.564998626709,41.2229995727539,40.8969993591309,40.6679992675781,40.4630012512207,40.3740005493164,40.3250007629395,40.1889991760254,39.898998260498,39.5120010375977,38.9790000915527,38.3569984436035,37.773998260498,37.3240013122559,37.0610008239746,36.923999786377,36.8860015869141,36.8839988708496,36.8660011291504,36.9010009765625,36.9109992980957,36.8870010375977,36.8250007629395,36.7820014953613,36.7200012207031
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.6599998474121,43.7750015258789,42.3969993591309,41.4869995117188,41.3559989929199,40.8769989013672,40.1969985961914,39.5209999084473,39.0589981079102,38.6430015563965,38.3400001525879,38.7379989624023,39.193000793457,39.6980018615723,40.2319984436035,40.7729988098145,41.3190002441406,41.8419990539551,38.8310012817383,35.8870010375977,38.9580001831055,39.4230003356934,41.0340003967285,39.6389999389648,39.1640014648438,39.1629981994629,39.1180000305176
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.1559982299805,40.4420013427734,40.9500007629395,41.484001159668,41.8120002746582,42.3019981384277,42.7529983520508,42.9500007629395,43.2319984436035,44.2779998779297,44.8089981079102,45.0149993896484,45.2490005493164,45.6259994506836,47.1100006103516,44.1349983215332,45.5069999694824,42.1699981689453,41.1650009155273,39.9519996643066,34.7669982910156,29.9899997711182,30.8999996185303,30.3680000305176,30.503999710083,30.3460006713867,30.201000213623
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.0209999084473,22.2810001373291,20.2110004425049,19.9930000305176,20.4790000915527,19.5599994659424,18.8339996337891,18.1560001373291,17.5130004882813,20.7719993591309,19.0279998779297,17.4459991455078,21.3920001983643,21.5799999237061,21.8110008239746,22.0949993133545,20.4050006866455,19.1359996795654,20.048999786377,20.9699993133545,19.2830009460449,16.8999996185303,16.6000003814697,18,17.7099990844727,17.7290000915527,17.7329998016357
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.742000579834,33.4729995727539,33.2060012817383,35.0660018920898,35.1419982910156,32.8279991149902,30.753999710083,30.2099990844727,35.5060005187988,33.6549987792969,32.7639999389648,31.8880004882813,31.0189990997314,33.2089996337891,31.5389995574951,32.273998260498,33.0950012207031,30.7409992218018,32.6119995117188,31.496000289917,30.8120002746582,31.3810005187988,31.9869995117188,32.4560012817383,32.9970016479492,33.1209983825684,33.2639999389648
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.9860000610352,62.3499984741211,61.6240005493164,60.8219985961914,59.9339981079102,58.9700012207031,57.9500007629395,56.9459991455078,56.0890007019043,55.523998260498,49.9690017700195,50.0309982299805,50.3429985046387,50.8139991760254,51.3489990234375,51.8819999694824,52.3740005493164,52.8740005493164,53.3530006408691,53.773998260498,54.1160011291504,54.3720016479492,54.5639991760254,54.7109985351563,54.8339996337891,55.0320014953613,55.2089996337891
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.2559967041016,76.7239990234375,77.3150024414063,77.9100036621094,78.3539962768555,78.5419998168945,78.4820022583008,78.181999206543,77.6900024414063,77.0820007324219,76.4260025024414,75.7570037841797,75.0820007324219,74.4779968261719,74.0169982910156,73.7330017089844,73.5970001220703,73.5960006713867,73.6729965209961,73.7630004882813,73.8190002441406,73.8639984130859,73.8659973144531,73.8059997558594,73.6709976196289,73.5120010375977,73.3610000610352
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.5779991149902,47.9309997558594,46.3860015869141,44.8440017700195,43.1769981384277,41.3320007324219,38.9039993286133,36.6160011291504,35.2630004882813,31.7180004119873,30.9389991760254,32.6699981689453,25.1770000457764,28.0419998168945,29.7290000915527,29.8209991455078,30.7119998931885,32.6870002746582,37.9659996032715,34.8530006408691,34.2970008850098,36.4440002441406,37.4360008239746,37.9990005493164,37.3440017700195,37.4700012207031,37.0400009155273
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.504997253418,73.5609970092773,73.625,73.6869964599609,73.7330017089844,73.7539978027344,73.7490005493164,73.7210006713867,73.681999206543,73.6539993286133,74.0960006713867,74.5490036010742,75.0130004882813,75.4759979248047,75.9160003662109,76.3150024414063,76.1559982299805,75.9619979858398,75.7409973144531,75.5130004882813,75.302001953125,75.1259994506836,74.9690017700195,74.8249969482422,74.1849975585938,74.181999206543,74.1859970092773
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6089992523193,28.1959991455078,28.7859992980957,29.375,29.9740009307861,30.6060009002686,31.2530002593994,31.1459999084473,31.0879993438721,31.0739994049072,31.0939998626709,31.201000213623,31.3460006713867,31.4969997406006,31.6049995422363,31.6450004577637,31.548999786377,31.3419990539551,31.1539993286133,31.2859992980957,30.9810009002686,30.7999992370605,30.8020000457764,30.6480007171631,30.4099998474121,30.5009994506836,30.5410003662109
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.8819999694824,53.0999984741211,48.0180015563965,44.6839981079102,41.2150001525879,39.3660011291504,39.318000793457,43.3160018920898,44.9309997558594,48.9339981079102,50.9550018310547,50.8769989013672,50.693000793457,49.9930000305176,48.8059997558594,49.9370002746582,50.5009994506836,53.3310012817383,53.484001159668,51.3370018005371,49.6459999084473,50.6100006103516,52.1769981384277,53.1570014953613,53.0419998168945,53.3629989624023,53.5289993286133
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.2480010986328,37.9910011291504,37.0670013427734,35.9150009155273,34.3330001831055,33.7610015869141,32.939998626709,32.0390014648438,31.8540000915527,32.2879981994629,32.2929992675781,31.7259998321533,31.9589996337891,32.9360008239746,32.8769989013672,34.0390014648438,34.181999206543,35.0579986572266,34.9000015258789,36.1889991760254,35.1669998168945,34.5499992370605,33.8839988708496,33.7690010070801,33.2459983825684,33.1450004577637,33.1430015563965
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.8899993896484,40.0610008239746,39.1349983215332,38.1549987792969,37.1240005493164,35.992000579834,34.9690017700195,34.4700012207031,33.5800018310547,32.5550003051758,31.7369995117188,31.8759994506836,32.2089996337891,31.8120002746582,31.3619995117188,30.9479999542236,30.9120006561279,30.9020004272461,31.1660003662109,31.3500003814697,31.0949993133545,31.0909996032715,31.2679996490479,31.5009994506836,31.6110000610352,31.7269992828369,31.7140007019043
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.2350006103516,31.3199996948242,31.3740005493164,31.3969993591309,30.6079998016357,29.8390007019043,29.076000213623,28.3330001831055,27.617000579834,26.931999206543,26.2779998779297,25.632999420166,25.0189990997314,24.4379997253418,23.886999130249,23.3579998016357,21.5729999542236,19.8799991607666,18.2810001373291,16.7730007171631,15.3520002365112,15.3629999160767,15.3739995956421,15.3830003738403,15.3929996490479,15.585000038147,15.7749996185303
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.2570037841797,65.2129974365234,65.1330032348633,65.0410003662109,64.9599990844727,64.8929977416992,64.8300018310547,64.7809982299805,64.7509994506836,64.7379989624023,64.7360000610352,64.7149963378906,64.6959991455078,64.677001953125,64.6520004272461,64.6190032958984,64.5589981079102,64.4879989624023,64.4059982299805,64.3160018920898,64.2200012207031,64.0179977416992,63.818000793457,63.6220016479492,63.4309997558594,63.3650016784668,63.2890014648438
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.7830009460449,27.2390003204346,31.3610000610352,31.6979999542236,31.4710006713867,31.6060009002686,31.7740001678467,31.7220001220703,31.6700000762939,31.6009998321533,28.0550003051758,27.1700000762939,24.8579998016357,29.5219993591309,23.7770004272461,24.4270000457764,24.4820003509521,24.7280006408691,25.1609992980957,25.742000579834,28.8600006103516,30.4710006713867,29.1030006408691,27.2129993438721,26.8320007324219,27.0860004425049,27.4820003509521
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.5480003356934,58.310001373291,56.0769996643066,53.8419990539551,52.4830017089844,49.9039993286133,47.8409996032715,47.3470001220703,47.2919998168945,48.6749992370605,48.4290008544922,47.9099998474121,46.4090003967285,44.3339996337891,44.7770004272461,46.6399993896484,47.8409996032715,49.4259986877441,50.0099983215332,49.484001159668,48.826000213623,49.6669998168945,47.8129997253418,48.382999420166,47.5250015258789,47.5379981994629,47.5919990539551
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.2529983520508,54.148998260498,54.0429992675781,54.125,54.1920013427734,54.2439994812012,54.2719993591309,54.2830009460449,54.2849998474121,54.2869987487793,54.2970008850098,51.9900016784668,49.5769996643066,47.0740013122559,44.5029983520508,41.8919982910156,39.2869987487793,41.4790000915527,43.689998626709,45.9129981994629,48.1430015563965,50.3689994812012,52.5890007019043,54.7820014953613,54.5870018005371,54.6160011291504,54.625
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.5880012512207,35.3409996032715,34.4070014953613,35.0579986572266,33.3009986877441,33.5789985656738,35.0639991760254,33.6539993286133,37.185001373291,38.3339996337891,36.3629989624023,33.8230018615723,33.4339981079102,31.5189990997314,33.6829986572266,30.6800003051758,29.7940006256104,29.0130004882813,27.4489994049072,28.5559997558594,27.6550006866455,27.1979999542236,27.8969993591309,26.7730007171631,27.0279998779297,27.4540004730225,27.4939994812012
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.6580009460449,41.6279983520508,41.5950012207031,41.568000793457,41.5260009765625,41.4659996032715,41.390998840332,41.2859992980957,41.1240005493164,40.9379997253418,40.7519989013672,40.5040016174316,34.2410011291504,35.0960006713867,36.1310005187988,45.6129989624023,45.3440017700195,45.7949981689453,40.8370018005371,35.6910018920898,39.5219993591309,43.2750015258789,43.2410011291504,43.3289985656738,43.2799987792969,43.4070014953613,43.4799995422363
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.931999206543,28.3939990997314,28.8619995117188,29.3369998931885,29.8159999847412,30.2999992370605,30.7950000762939,31.2919998168945,31.7950000762939,32.3120002746582,32.8479995727539,33.4129981994629,34.0009994506836,34.601001739502,35.1860008239746,38.4269981384277,41.7620010375977,40.5219993591309,39.2799987792969,38.060001373291,36.882999420166,35.7529983520508,40.4550018310547,33.7560005187988,34.148998260498,34.3759994506836,34.6110000610352
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.9669990539551,48.6959991455078,49.4280014038086,50.1599998474121,50.8950004577637,51.6300010681152,52.3650016784668,53.0999984741211,53.8339996337891,54.5670013427734,55.298999786377,56.0289993286133,56.7560005187988,57.4799995422363,58.2000007629395,58.9169998168945,59.6310005187988,60.3409996032715,61.0460014343262,61.7459983825684,61.8540000915527,62.7760009765625,62.7789993286133,75.5350036621094,75.2249984741211,75.0970001220703,74.9710006713867
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.3860015869141,53.2369995117188,53.2830009460449,53.4300003051758,53.5400009155273,53.5279998779297,53.382999420166,53.1370010375977,52.8440017700195,52.5810012817383,52.3969993591309,52.2949981689453,52.2550010681152,52.242000579834,52.2080001831055,52.1220016479492,51.9910011291504,51.814998626709,51.6150016784668,51.4199981689453,51.25,51.1059989929199,50.9799995422363,50.8600006103516,50.7280006408691,50.8079986572266,50.8779983520508
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.25,33.6080017089844,33.9620018005371,34.3349990844727,33.7080001831055,33.2039985656738,32.6259994506836,31.9729995727539,31.57200050354,30.8250007629395,30.2409992218018,29.4890003204346,28.8250007629395,28.3250007629395,27.6949996948242,27.3169994354248,27.1709995269775,26.5209999084473,26.1660003662109,26.0249996185303,26.2350006103516,27.1009998321533,28.2099990844727,29.3880004882813,30.5639991760254,31.0209999084473,31.4990005493164
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.8089981079102,39.7509994506836,38.6720008850098,37.5909996032715,36.5309982299805,35.507999420166,34.3680000305176,33.2680015563965,32.2369995117188,31.3099994659424,30.4990005493164,30.9120006561279,31.4009990692139,31.9260005950928,32.4269981384277,32.867000579834,33.0200004577637,33.0340003967285,33.0340003967285,32.9729995727539,33.1110000610352,33.0989990234375,33.0820007324219,33.0690002441406,33.0690002441406,33.0940017700195,33.1199989318848
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.5699996948242,28.5590000152588,29.8589992523193,29.6590003967285,29.4689998626709,29.3020000457764,34.5670013427734,34.7919998168945,36.1129989624023,39.0040016174316,37.3320007324219,33.5950012207031,30.0330009460449,30.7999992370605,31.576000213623,26.8309993743896,30.07200050354,30.1149997711182,30.1590003967285,30.2150001525879,31.3080005645752,31.5869998931885,31.8770008087158,32.2309989929199,32.4620018005371,32.4329986572266,32.4119987487793
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.5699996948242,55.5449981689453,54.3699989318848,51.5419998168945,50.314998626709,49.5919990539551,49.5740013122559,47.9160003662109,47.6430015563965,46.1279983520508,44.765998840332,43.6800003051758,44.8930015563965,45.0970001220703,45.4860000610352,44.8300018310547,44.1839981079102,44.7159996032715,43.0610008239746,40.6520004272461,37.2039985656738,36.8969993591309,37.5940017700195,39.9080009460449,39.7949981689453,40.0960006713867,40.2859992980957
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.5769996643066,42.0800018310547,39.7809982299805,37.1829986572266,35.5690002441406,32.6510009765625,30.6119995117188,30.818000793457,34.3520011901855,34.3779983520508,32.9290008544922,30.6380004882813,29.9780006408691,27.6119995117188,24.4389991760254,23.6700000762939,23.0599994659424,21.4599990844727,21.0990009307861,21.3419990539551,22.0900001525879,22.0100002288818,23.6429996490479,24.0139999389648,26.0900001525879,26.2180004119873,26.1690006256104
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.8089981079102,59.2029991149902,60.3959999084473,59.8720016479492,59.0750007629395,59.7690010070801,59.8940010070801,62.0260009765625,68.0120010375977,70.4970016479492,73.3050003051758,69.9250030517578,62.4650001525879,68.8550033569336,68.7060012817383,75.3889999389648,78.0739974975586,76.6780014038086,75.9720001220703,71.9380035400391,71.6900024414063,70.9049987792969,73.9300003051758,76.8860015869141,76.5220031738281,76.5709991455078,76.5599975585938
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.8290004730225,30.5160007476807,30.2089996337891,29.9039993286133,29.5990009307861,29.0410003662109,28.488000869751,27.9379997253418,27.3950004577637,26.8640003204346,26.3490009307861,26.6529998779297,26.9669990539551,27.2880001068115,27.6119995117188,27.9349994659424,26.0370006561279,24.238000869751,22.5349998474121,20.9270000457764,19.4099998474121,18.4650001525879,17.5580005645752,17.1959991455078,16.7779998779297,16.886999130249,17
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.1300010681152,41.2490005493164,40.359001159668,41.4749984741211,42.5929985046387,42.773998260498,42.9570007324219,41.6529998779297,39.0449981689453,43.3689994812012,43.6349983215332,43.9469985961914,44.2330017089844,44.1699981689453,44.0589981079102,43.9220008850098,43.314998626709,42.7109985351563,42.0530014038086,41.2249984741211,40.9129981994629,40.431999206543,39.9749984741211,39.5480003356934,38.9020004272461,38.8600006103516,38.8540000915527
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.0220003128052,12.4060001373291,12.0260000228882,11.6529998779297,11.2849998474121,10.9259996414185,10.5920000076294,11.1169996261597,11.6780004501343,12.2840003967285,12.9460000991821,13.6420001983643,14.4160003662109,15.2729997634888,16.2119998931885,17.2259998321533,15.8319997787476,14.5640001296997,12.6379995346069,12.9630002975464,12.8590002059937,12.6680002212524,12.4399995803833,12.4320001602173,12.1940002441406,12.1759996414185,12.08899974823
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2819995880127,8.27799987792969,8.25399971008301,8.2209997177124,8.19099998474121,8.17099952697754,8.16100025177002,8.1569995880127,8.1540002822876,8.14999961853027,8.14099979400635,8.12800025939941,8.11400032043457,8.10000038146973,8.09200000762939,8.12100028991699,8.10799980163574,8.13099956512451,8.10299968719482,8.10799980163574,8.13500022888184,8.15900039672852,8.18000030517578,8.20100021362305,8.22700023651123,8.25699996948242,8.29100036621094
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.2400016784668,44.9970016479492,41.8310012817383,42.8740005493164,42.9900016784668,42.2369995117188,41.3230018615723,42.9799995422363,45.7729988098145,47.5559997558594,47.0250015258789,45.0480003356934,44.6529998779297,45.6139984130859,44.898998260498,49.9480018615723,50.5550003051758,51.8289985656738,49.951000213623,46.8339996337891,42.931999206543,41.1279983520508,40.5550003051758,39.8079986572266,37.2330017089844,36.7680015563965,36.523998260498
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.6199989318848,46.2569999694824,48.4309997558594,51.1479988098145,54.4500007629395,54.8549995422363,54.2439994812012,52.6209983825684,50.4020004272461,52.0900001525879,54.2949981689453,53.9020004272461,50.431999206543,51.9910011291504,52.7610015869141,53.8889999389648,54.0559997558594,52.7550010681152,51.2019996643066,51.7550010681152,51.0330009460449,48.4360008239746,48.7569999694824,48.2550010681152,48.6150016784668,48.492000579834,48.4300003051758
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.5260009765625,41.9930000305176,38.048999786377,36.7220001220703,34.568000793457,33.939998626709,34.0890007019043,33.7309989929199,32.8209991455078,33.4220008850098,33.6520004272461,32.2929992675781,30.7509994506836,29.8349990844727,31.6940002441406,28.4150009155273,26.7560005187988,25.4610004425049,25.7560005187988,23.875,23.2549991607666,22.6380004882813,23.6800003051758,23.0060005187988,22.7590007781982,22.82200050354,22.8570003509521
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.9039993286133,55.4420013427734,54.9749984741211,54.4609985351563,53.8339996337891,52.056999206543,50.2770004272461,48.3639984130859,46.3880004882813,44.2830009460449,42.2890014648438,40.5309982299805,38.890998840332,37.2919998168945,37.0999984741211,37.0709991455078,37.0660018920898,37.0009994506836,36.8759994506836,32.5699996948242,30.8969993591309,33.3289985656738,32.2319984436035,33.6020011901855,34.0509986877441,34.2109985351563,34.4599990844727
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.6119995117188,45.4140014648438,46.2750015258789,46.6669998168945,47.2270011901855,47.2890014648438,47.6040000915527,47.5970001220703,47.5229988098145,46.4179992675781,46.3110008239746,46.257999420166,44.9249992370605,44.6479988098145,44.3440017700195,44.9780006408691,45.0110015869141,44.4339981079102,44.5099983215332,44.7299995422363,44.0229988098145,43.4090003967285,42.7589988708496,43.685001373291,43.5369987487793,43.4480018615723,43.4630012512207
